File path,Total lines
TimePeriodAnchor.java,48
TimePeriodFormatException.java,49
TimePeriodValue.java,168
TimePeriodValues.java,425
TimePeriodValuesCollection.java,411
TimeSeries.java,1172
TimeSeriesCollection.java,663
TimeSeriesDataItem.java,190
TimeSeriesTableModel.java,240
TimeTableXYDataset.java,561
Week.java,595
Year.java,368
OHLC.java,144
OHLCItem.java,129
OHLCSeries.java,127
OHLCSeriesCollection.java,454
CategoryDatasetHandler.java,121
CategorySeriesHandler.java,134
DatasetReader.java,161
DatasetTags.java,57
ItemHandler.java,151
KeyHandler.java,141
PieDatasetHandler.java,121
RootHandler.java,114
ValueHandler.java,147
AbstractIntervalXYDataset.java,116
AbstractXYDataset.java,90
AbstractXYZDataset.java,60
CategoryTableXYDataset.java,383
DefaultHighLowDataset.java,398
DefaultIntervalXYDataset.java,525
DefaultOHLCDataset.java,320
DefaultTableXYDataset.java,582
DefaultWindDataset.java,394
DefaultXYDataset.java,359
DefaultXYZDataset.java,402
IntervalXYDataset.java,137
IntervalXYDelegate.java,436
IntervalXYZDataset.java,97
MatrixSeries.java,200
MatrixSeriesCollection.java,272
NormalizedMatrixSeries.java,131
OHLCDataItem.java,182
OHLCDataset.java,149
TableXYDataset.java,57
Vector.java,135
VectorDataItem.java,117
VectorSeries.java,162
VectorSeriesCollection.java,303
VectorXYDataset.java,73
WindDataset.java,67
XIntervalDataItem.java,104
XIntervalSeries.java,162
XIntervalSeriesCollection.java,360
XisSymbolic.java,72
XYBarDataset.java,355
XYCoordinate.java,155
XYDataItem.java,222
XYDataset.java,108
XYDatasetTableModel.java,241
XYDomainInfo.java,55
XYInterval.java,143
XYIntervalDataItem.java,134
XYIntervalSeries.java,189
XYIntervalSeriesCollection.java,357
XYItemKey.java,138
XYRangeInfo.java,56
XYSeries.java,892
XYSeriesCollection.java,708
XYZDataset.java,60
YInterval.java,112
YIntervalDataItem.java,103
YIntervalSeries.java,163
YIntervalSeriesCollection.java,321
YisSymbolic.java,73
YWithXInterval.java,116
AreaChartTest.java,167
BarChartTest.java,165
ChartRenderingInfoTest.java,117
GanttChartTest.java,266
JFreeChartTest.java,409
LegendItemCollectionTest.java,109
LegendItemTest.java,315
LineChartTest.java,162
MeterChartTest.java,69
PieChartTest.java,104
ScatterPlotTest.java,153
StackedAreaChartTest.java,161
StackedBarChartTest.java,163
StandardChartThemeTest.java,236
TestUtils.java,171
TimeSeriesChartTest.java,153
WaterfallChartTest.java,125
XYAreaChartTest.java,152
XYBarChartTest.java,156
XYLineChartTest.java,153
XYStepAreaChartTest.java,152
XYStepChartTest.java,164
CategoryLineAnnotationTest.java,166
CategoryPointerAnnotationTest.java,157
CategoryTextAnnotationTest.java,117
TextAnnotationTest.java,161
XYBoxAnnotationTest.java,202
XYDrawableAnnotationTest.java,177
XYImageAnnotationTest.java,114
XYLineAnnotationTest.java,181
XYPointerAnnotationTest.java,157
XYPolygonAnnotationTest.java,145
XYShapeAnnotationTest.java,157
XYTextAnnotationTest.java,161
XYTitleAnnotationTest.java,142
RectangleAlignmentTest.java,87
AxisLocationTest.java,79
AxisSpaceTest.java,96
AxisTest.java,236
CategoryAnchorTest.java,77
CategoryAxisTest.java,177
CategoryLabelPositionsTest.java,161
CategoryLabelPositionTest.java,132
CategoryLabelWidthTypeTest.java,76
CategoryTickTest.java,127
CyclicNumberAxisTest.java,122
DateAxisTest.java,1045
DateTickMarkPositionTest.java,78
DateTickTest.java,122
DateTickUnitTest.java,75
ExtendedCategoryAxisTest.java,137
LogarithmicAxisTest.java,205
LogAxisTest.java,253
MarkerAxisBandTest.java,98
ModuloAxisTest.java,90
MonthDateFormatTest.java,129
NumberAxisTest.java,357
NumberTickUnitTest.java,91
PeriodAxisLabelInfoTest.java,169
PeriodAxisTest.java,254
QuarterDateFormatTest.java,112
StandardTickUnitSourceTest.java,63
SubCategoryAxisTest.java,136
SymbolAxisTest.java,97
TickUnitsTest.java,80
ValueAxisTest.java,213
AbstractBlockTest.java,125
BlockBorderTest.java,93
BlockContainerTest.java,85
BorderArrangementTest.java,711
ColorBlockTest.java,106
ColumnArrangementTest.java,100
EmptyBlockTest.java,89
FlowArrangementTest.java,100
GridArrangementTest.java,268
LabelBlockTest.java,120
LineBorderTest.java,97
RectangleConstraintTest.java,118
CategoryItemEntityTest.java,111
CategoryLabelEntityTest.java,97
FlowEntityTest.java,94
LegendItemEntityTest.java,100
PieSectionEntityTest.java,112
StandardEntityCollectionTest.java,100
TickLabelEntityTest.java,91
XYItemEntityTest.java,104
DynamicDriveToolTipTagFragmentGeneratorTest.java,61
ImageMapUtilsTest.java,107
OverLIBToolTipTagFragmentGeneratorTest.java,61
StandardToolTipTagFragmentGeneratorTest.java,59
StandardURLTagFragmentGeneratorTest.java,60
ArgsTest.java,54
CloneUtilsTest.java,78
HashUtilsTest.java,57
LineUtilsTest.java,120
SerialUtilsTest.java,110
ShapeUtilsTest.java,120
BoxAndWhiskerToolTipGeneratorTest.java,111
BoxAndWhiskerXYToolTipGeneratorTest.java,131
BubbleXYItemLabelGeneratorTest.java,166
