File path,Total non-comment lines
DefaultChartEditorFactory.java,10
DefaultLogAxisEditor.java,82
DefaultNumberAxisEditor.java,97
DefaultPlotEditor.java,365
DefaultPolarPlotEditor.java,110
DefaultTitleEditor.java,155
DefaultValueAxisEditor.java,226
FontChooserPanel.java,113
FontDisplayField.java,29
LCBLayout.java,147
package-info.java,1
PaintSample.java,43
StrokeChooserPanel.java,30
StrokeSample.java,72
AttributedStringUtils.java,43
G2TextMeasurer.java,18
package-info.java,1
TextAnchor.java,51
TextBlock.java,137
TextBlockAnchor.java,12
TextBox.java,204
TextFragment.java,126
TextLine.java,108
TextMeasurer.java,4
TextUtils.java,393
HexNumberFormat.java,46
HMSNumberFormat.java,32
LogFormat.java,98
package-info.java,1
RelativeDateFormat.java,229
CompositeTitle.java,97
DateTitle.java,37
ImageTitle.java,176
package-info.java,1
ShortTextTitle.java,119
TextTitle.java,469
Title.java,180
CategoryURLGenerator.java,6
CustomCategoryURLGenerator.java,88
CustomPieURLGenerator.java,95
CustomXYURLGenerator.java,89
package-info.java,1
PieURLGenerator.java,5
StandardCategoryURLGenerator.java,86
StandardPieURLGenerator.java,70
StandardXYURLGenerator.java,58
StandardXYZURLGenerator.java,9
TimeSeriesURLGenerator.java,90
XYURLGenerator.java,5
XYZURLGenerator.java,5
AttrStringUtils.java,182
DefaultShadowGenerator.java,158
DirectionalGradientPaintTransformer.java,48
ExportUtils.java,112
GradientPaintTransformer.java,6
GradientPaintTransformType.java,7
package-info.java,1
PaintAlpha.java,138
ShadowGenerator.java,7
StandardGradientPaintTransformer.java,79
StringUtils.java,25
ComparableObjectItem.java,56
ComparableObjectSeries.java,209
DataUtils.java,126
DefaultKeyedValue.java,56
DefaultKeyedValues.java,203
DefaultKeyedValues2D.java,255
DomainInfo.java,6
DomainOrder.java,6
ItemKey.java,4
KeyedObject.java,56
KeyedObjects.java,149
KeyedObjects2D.java,244
KeyedValue.java,4
KeyedValueComparator.java,84
KeyedValueComparatorType.java,5
KeyedValues.java,8
KeyedValues2D.java,12
KeyedValues2DItemKey.java,72
KeyedValuesItemKey.java,49
KeyToGroupMap.java,162
Range.java,196
RangeInfo.java,6
RangeType.java,6
UnknownKeyException.java,6
Value.java,4
Values.java,5
Values2D.java,6
CategoryDataset.java,6
CategoryRangeInfo.java,7
CategoryToPieDataset.java,155
DefaultCategoryDataset.java,146
DefaultIntervalCategoryDataset.java,380
IntervalCategoryDataset.java,8
SlidingCategoryDataset.java,152
DefaultFlowDataset.java,181
FlowDataset.java,14
FlowDatasetUtils.java,93
FlowKey.java,66
NodeKey.java,56
package-info.java,1
Function2D.java,4
LineFunction2D.java,42
NormalDistributionFunction2D.java,50
PolynomialFunction2D.java,38
PowerFunction2D.java,42
GanttCategoryDataset.java,15
SlidingGanttCategoryDataset.java,283
Task.java,98
TaskSeries.java,79
TaskSeriesCollection.java,316
XYTaskDataset.java,203
AbstractDataset.java,70
AbstractSeriesDataset.java,28
Dataset.java,5
DatasetChangeEvent.java,11
DatasetChangeListener.java,5
DatasetUtils.java,1459
DefaultHeatMapDataset.java,136
DefaultKeyedValueDataset.java,78
DefaultKeyedValues2DDataset.java,8
DefaultKeyedValuesDataset.java,5
DefaultPieDataset.java,127
DefaultValueDataset.java,42
HeatMapDataset.java,13
HeatMapUtils.java,50
KeyedValueDataset.java,4
KeyedValues2DDataset.java,4
KeyedValuesDataset.java,4
PieDataset.java,5
Series.java,79
SeriesChangeEvent.java,9
SeriesChangeListener.java,5
SeriesDataset.java,11
SeriesException.java,8
ValueDataset.java,4
WaferMapDataset.java,109
CSV.java,96
JSONUtils.java,102
package-info.java,1
JSONArray.java,72
JSONAware.java,4
JSONObject.java,85
JSONStreamAware.java,6
JSONValue.java,156
package-info.java,1
DataPackageResources.java,12
DataPackageResources_de.java,12
DataPackageResources_es.java,12
DataPackageResources_fr.java,12
DataPackageResources_pl.java,12
DataPackageResources_ru.java,12
BoxAndWhiskerCalculator.java,110
BoxAndWhiskerCategoryDataset.java,24
BoxAndWhiskerItem.java,125
BoxAndWhiskerXYDataset.java,17
DefaultBoxAndWhiskerCategoryDataset.java,412
DefaultBoxAndWhiskerXYDataset.java,239
DefaultMultiValueCategoryDataset.java,196
DefaultStatisticalCategoryDataset.java,363
HistogramBin.java,62
HistogramDataset.java,213
HistogramType.java,6
MeanAndStandardDeviation.java,65
MultiValueCategoryDataset.java,8
Regression.java,223
SimpleHistogramBin.java,130
SimpleHistogramDataset.java,188
StatisticalCategoryDataset.java,9
Statistics.java,234
DateRange.java,44
Day.java,187
DynamicTimeSeriesCollection.java,402
FixedMillisecond.java,111
Hour.java,197
Millisecond.java,194
Minute.java,207
Month.java,239
MovingAverage.java,165
Quarter.java,198
RegularTimePeriod.java,110
Second.java,196
SimpleTimePeriod.java,91
TimePeriod.java,6
TimePeriodAnchor.java,6
TimePeriodFormatException.java,6
TimePeriodValue.java,66
TimePeriodValues.java,221
TimePeriodValuesCollection.java,207
TimeSeries.java,606
TimeSeriesCollection.java,323
TimeSeriesDataItem.java,66
TimeSeriesTableModel.java,127
TimeTableXYDataset.java,230
Week.java,302
Year.java,141
OHLC.java,59
OHLCItem.java,51
OHLCSeries.java,38
OHLCSeriesCollection.java,187
CategoryDatasetHandler.java,48
CategorySeriesHandler.java,56
DatasetReader.java,74
DatasetTags.java,9
ItemHandler.java,62
KeyHandler.java,53
PieDatasetHandler.java,45
RootHandler.java,39
ValueHandler.java,60
AbstractIntervalXYDataset.java,41
AbstractXYDataset.java,28
AbstractXYZDataset.java,13
CategoryTableXYDataset.java,143
DefaultHighLowDataset.java,155
DefaultIntervalXYDataset.java,197
DefaultOHLCDataset.java,128
DefaultTableXYDataset.java,293
DefaultWindDataset.java,186
DefaultXYDataset.java,148
DefaultXYZDataset.java,158
IntervalXYDataset.java,11
IntervalXYDelegate.java,180
IntervalXYZDataset.java,10
MatrixSeries.java,75
MatrixSeriesCollection.java,108
NormalizedMatrixSeries.java,35
OHLCDataItem.java,77
OHLCDataset.java,13
TableXYDataset.java,4
Vector.java,48
VectorDataItem.java,36
VectorSeries.java,44
VectorSeriesCollection.java,115
VectorXYDataset.java,6
WindDataset.java,5
XIntervalDataItem.java,34
XIntervalSeries.java,40
XIntervalSeriesCollection.java,140
XisSymbolic.java,6
XYBarDataset.java,125
XYCoordinate.java,71
XYDataItem.java,93
XYDataset.java,11
XYDatasetTableModel.java,73
XYDomainInfo.java,6
XYInterval.java,58
XYIntervalDataItem.java,56
XYIntervalSeries.java,49
XYIntervalSeriesCollection.java,132
XYItemKey.java,70
XYRangeInfo.java,6
XYSeries.java,425
XYSeriesCollection.java,371
XYZDataset.java,5
YInterval.java,41
YIntervalDataItem.java,37
YIntervalSeries.java,39
YIntervalSeriesCollection.java,122
YisSymbolic.java,6
YWithXInterval.java,41
AreaChartTest.java,96
BarChartTest.java,93
ChartRenderingInfoTest.java,65
GanttChartTest.java,174
JFreeChartTest.java,295
LegendItemCollectionTest.java,56
LegendItemTest.java,257
LineChartTest.java,89
MeterChartTest.java,22
PieChartTest.java,38
ScatterPlotTest.java,84
StackedAreaChartTest.java,90
StackedBarChartTest.java,92
StandardChartThemeTest.java,160
TestUtils.java,102
TimeSeriesChartTest.java,84
WaterfallChartTest.java,66
XYAreaChartTest.java,83
XYBarChartTest.java,87
XYLineChartTest.java,84
XYStepAreaChartTest.java,83
XYStepChartTest.java,93
CategoryLineAnnotationTest.java,107
CategoryPointerAnnotationTest.java,96
CategoryTextAnnotationTest.java,61
TextAnnotationTest.java,92
XYBoxAnnotationTest.java,140
XYDrawableAnnotationTest.java,103
XYImageAnnotationTest.java,3
XYLineAnnotationTest.java,128
XYPointerAnnotationTest.java,96
XYPolygonAnnotationTest.java,91
XYShapeAnnotationTest.java,100
XYTextAnnotationTest.java,100
XYTitleAnnotationTest.java,87
RectangleAlignmentTest.java,46
AxisLocationTest.java,32
AxisSpaceTest.java,44
AxisTest.java,165
CategoryAnchorTest.java,30
CategoryAxisTest.java,109
CategoryLabelPositionsTest.java,114
CategoryLabelPositionTest.java,85
CategoryLabelWidthTypeTest.java,29
CategoryTickTest.java,77
CyclicNumberAxisTest.java,66
DateAxisTest.java,840
DateTickMarkPositionTest.java,31
DateTickTest.java,73
DateTickUnitTest.java,28
ExtendedCategoryAxisTest.java,79
LogarithmicAxisTest.java,124
LogAxisTest.java,174
MarkerAxisBandTest.java,51
ModuloAxisTest.java,40
MonthDateFormatTest.java,74
NumberAxisTest.java,220
NumberTickUnitTest.java,41
PeriodAxisLabelInfoTest.java,116
PeriodAxisTest.java,180
QuarterDateFormatTest.java,62
StandardTickUnitSourceTest.java,19
SubCategoryAxisTest.java,78
SymbolAxisTest.java,50
TickUnitsTest.java,33
ValueAxisTest.java,139
AbstractBlockTest.java,78
BlockBorderTest.java,44
BlockContainerTest.java,38
BorderArrangementTest.java,522
ColorBlockTest.java,58
ColumnArrangementTest.java,53
EmptyBlockTest.java,42
FlowArrangementTest.java,53
GridArrangementTest.java,176
LabelBlockTest.java,73
LineBorderTest.java,50
RectangleConstraintTest.java,68
CategoryItemEntityTest.java,64
CategoryLabelEntityTest.java,50
FlowEntityTest.java,45
LegendItemEntityTest.java,53
PieSectionEntityTest.java,65
StandardEntityCollectionTest.java,52
TickLabelEntityTest.java,44
XYItemEntityTest.java,57
DynamicDriveToolTipTagFragmentGeneratorTest.java,16
ImageMapUtilsTest.java,59
OverLIBToolTipTagFragmentGeneratorTest.java,16
StandardToolTipTagFragmentGeneratorTest.java,14
StandardURLTagFragmentGeneratorTest.java,15
ArgsTest.java,16
CloneUtilsTest.java,30
HashUtilsTest.java,16
LineUtilsTest.java,78
SerialUtilsTest.java,72
ShapeUtilsTest.java,65
BoxAndWhiskerToolTipGeneratorTest.java,55
BoxAndWhiskerXYToolTipGeneratorTest.java,74
BubbleXYItemLabelGeneratorTest.java,107
CustomXYItemLabelGeneratorTest.java,39
HighLowItemLabelGeneratorTest.java,56
IntervalCategoryItemLabelGeneratorTest.java,64
IntervalCategoryToolTipGeneratorTest.java,75
ItemLabelAnchorTest.java,17
ItemLabelPositionTest.java,18
MultipleXYSeriesLabelGeneratorTest.java,58
StandardCategoryItemLabelGeneratorTest.java,97
StandardCategorySeriesLabelGeneratorTest.java,65
StandardCategoryToolTipGeneratorTest.java,80
StandardFlowLabelGeneratorTest.java,20
StandardPieSectionLabelGeneratorTest.java,84
StandardPieToolTipGeneratorTest.java,75
StandardXYItemLabelGeneratorTest.java,103
StandardXYSeriesLabelGeneratorTest.java,64
StandardXYToolTipGeneratorTest.java,83
StandardXYZToolTipGeneratorTest.java,93
SymbolicXYItemLabelGeneratorTest.java,43
LegendGraphicTest.java,127
LegendTitleTest.java,84
PaintScaleLegendTest.java,94
CategoryMarkerTest.java,109
CategoryPlotTest.java,905
CombinedDomainCategoryPlotTest.java,161
CombinedDomainXYPlotTest.java,163
CombinedRangeCategoryPlotTest.java,161
CombinedRangeXYPlotTest.java,157
CrosshairTest.java,111
DefaultDrawingSupplierTest.java,111
FastScatterPlotTest.java,139
IntervalMarkerTest.java,73
MarkerTest.java,244
MeterIntervalTest.java,43
MeterPlotTest.java,144
MyPlotChangeListener.java,19
PlotOrientationTest.java,21
PlotRenderingInfoTest.java,56
PlotTest.java,90
PolarPlotTest.java,260
RingPlotTest.java,87
SpiderWebPlotTest.java,213
ThermometerPlotTest.java,111
ValueMarkerTest.java,140
XYPlotTest.java,994
ArrowNeedleTest.java,32
CompassPlotTest.java,67
LineNeedleTest.java,28
LongNeedleTest.java,28
MeterNeedleTest.java,44
MiddlePinNeedleTest.java,28
PinNeedleTest.java,28
